Date,Vegetable,Price
01/06/2023,Coriander Leaves,5
01/06/2023,Ivy Gourd,24
01/06/2023,Lemon,60
01/06/2023,Bitter Gourd,34
01/06/2023,French Beans,47
01/06/2023,Green Chilli,42
01/06/2023,Tomato,32
01/07/2022,French Beans,60
01/07/2022,Banana,5
01/07/2022,Bitter Gourd,36
01/07/2022,Mango Raw,30
01/07/2022,Capsicum,33
01/07/2022,Snake Gourd,25
01/07/2022,Ladies Finger,34
01/07/2022,Coriander Leaves,8
01/07/2022,Potato,32
01/07/2022,Spinach,12
01/07/2022,Amla,60
01/07/2022,Lemon,64
01/07/2022,Ivy Gourd,27
01/07/2022,Onion,20
01/07/2022,Green Chilli,30
01/07/2022,Tomato,22
01/07/2023,Mango Raw,28
01/07/2023,Ladies Finger,37
01/07/2023,Amla,90
01/07/2023,Capsicum,43
01/07/2023,Onion,21
01/07/2023,Green Chilli,57
01/07/2023,Ivy Gourd,23
01/07/2023,Snake Gourd,31
01/07/2023,French Beans,72
01/07/2023,Spinach,10
01/07/2023,Banana,10
01/07/2023,Bitter Gourd,36
01/07/2023,Tomato,93
01/07/2023,Potato,26
01/07/2023,Coriander Leaves,10
01/07/2023,Lemon,53
01/08/2022,Ivy Gourd,24
01/08/2022,Amla,60
01/08/2022,French Beans,68
01/08/2022,Tomato,16
01/08/2022,Snake Gourd,29
01/08/2022,Ladies Finger,36
01/08/2022,Lemon,57
01/08/2022,Banana,7
01/08/2022,Potato,31
01/08/2022,Green Chilli,37
01/08/2022,Spinach,15
01/08/2022,Bitter Gourd,34
01/08/2022,Coriander Leaves,9
01/08/2022,Onion,24
01/08/2022,Mango Raw,61
01/08/2022,Capsicum,35
01/08/2023,Mango Raw,32
01/08/2023,French Beans,62
01/08/2023,Bitter Gourd,28
01/08/2023,Lemon,52
01/08/2023,Snake Gourd,30
01/08/2023,Capsicum,50
01/08/2023,Coriander Leaves,10
01/08/2023,Ladies Finger,39
01/08/2023,Banana,7
01/08/2023,Tomato,149
01/08/2023,Amla,80
01/08/2023,Green Chilli,98
01/08/2023,Potato,31
01/08/2023,Onion,29
01/08/2023,Ivy Gourd,22
01/08/2023,Spinach,12
01/09/2022,Potato,32
01/09/2022,Ivy Gourd,23
01/09/2022,Capsicum,31
01/09/2022,Amla,50
01/09/2022,Snake Gourd,29
01/09/2022,Green Chilli,37
01/09/2022,French Beans,47
01/09/2022,Lemon,54
01/09/2022,Mango Raw,102
01/09/2022,Coriander Leaves,10
01/09/2022,Ladies Finger,20
01/09/2022,Spinach,10
01/09/2022,Bitter Gourd,39
01/09/2022,Onion,26
01/09/2022,Tomato,24
01/09/2022,Banana,10
01/10/2022,Coriander Leaves,9
01/10/2022,Bitter Gourd,34
01/10/2022,Ladies Finger,20
01/10/2022,Snake Gourd,30
01/10/2022,Green Chilli,39
01/10/2022,Lemon,63
01/10/2022,Mango Raw,94
01/10/2022,Banana,12
01/10/2022,Amla,60
01/10/2022,Potato,32
01/10/2022,Spinach,14
01/10/2022,Tomato,36
01/10/2022,French Beans,65
01/10/2022,Onion,21
01/10/2022,Ivy Gourd,22
01/10/2022,Capsicum,38
01/11/2022,Ladies Finger,23
01/11/2022,Capsicum,39
01/11/2022,French Beans,63
01/11/2022,Tomato,27
01/11/2022,Mango Raw,110
01/11/2022,Snake Gourd,36
01/11/2022,Potato,31
01/11/2022,Spinach,12
01/11/2022,Coriander Leaves,7
01/11/2022,Bitter Gourd,35
01/11/2022,Amla,60
01/11/2022,Green Chilli,39
01/11/2022,Lemon,50
01/11/2022,Onion,26
01/11/2022,Banana,8
01/11/2022,Ivy Gourd,26
01/12/2022,Banana,7
01/12/2022,Tomato,17
01/12/2022,French Beans,20
01/12/2022,Mango Raw,81
01/12/2022,Snake Gourd,27
01/12/2022,Ivy Gourd,27
01/12/2022,Amla,60
01/12/2022,Onion,30
01/12/2022,Spinach,14
01/12/2022,Capsicum,38
01/12/2022,Ladies Finger,29
01/12/2022,Green Chilli,38
01/12/2022,Bitter Gourd,28
01/12/2022,Coriander Leaves,10
01/12/2022,Potato,35
01/12/2022,Lemon,64
02/01/2022,Banana,7
02/01/2022,Potato,26
02/01/2022,Green Chilli,40
02/01/2022,French Beans,52
02/01/2022,Mango Raw,76
02/01/2022,Bitter Gourd,55
02/01/2022,Coriander Leaves,10
02/01/2022,Spinach,13
02/01/2022,Onion,38
02/01/2022,Amla,70
02/01/2022,Snake Gourd,38
02/01/2022,Ladies Finger,59
02/01/2022,Capsicum,40
02/01/2022,Ivy Gourd,29
02/01/2022,Lemon,42
02/01/2022,Tomato,47
02/01/2023,Mango Raw,109
02/01/2023,Onion,27
02/01/2023,Tomato,19
02/01/2023,Ladies Finger,32
02/01/2023,Bitter Gourd,27
02/01/2023,Capsicum,48
02/01/2023,Potato,30
02/01/2023,Green Chilli,35
02/01/2023,Ivy Gourd,27
02/01/2023,Banana,10
02/01/2023,Lemon,45
02/01/2023,French Beans,35
02/01/2023,Snake Gourd,30
02/01/2023,Spinach,10
02/01/2023,Coriander Leaves,6
02/01/2023,Amla,60
02/02/2022,Ivy Gourd,34
02/02/2022,Banana,4
02/02/2022,Amla,50
02/02/2022,French Beans,42
02/02/2022,Lemon,35
02/02/2022,Bitter Gourd,33
02/02/2022,Mango Raw,74
02/02/2022,Snake Gourd,26
02/02/2022,Ladies Finger,57
02/02/2022,Green Chilli,42
02/02/2022,Capsicum,46
02/02/2022,Tomato,18
02/02/2022,Spinach,11
02/02/2022,Coriander Leaves,8
02/02/2022,Onion,35
02/02/2022,Potato,21
02/02/2023,Amla,60
02/02/2023,Tomato,24
02/02/2023,Onion,25
02/02/2023,Snake Gourd,29
02/02/2023,French Beans,32
02/02/2023,Mango Raw,100
02/02/2023,Spinach,15
02/02/2023,Coriander Leaves,7
02/02/2023,Lemon,46
02/02/2023,Bitter Gourd,29
02/02/2023,Potato,38
02/02/2023,Ladies Finger,42
02/02/2023,Green Chilli,37
02/02/2023,Capsicum,48
02/02/2023,Ivy Gourd,22
02/02/2023,Banana,9
02/03/2022,Snake Gourd,27
02/03/2022,Lemon,37
02/03/2022,Mango Raw,82
02/03/2022,Ladies Finger,54
02/03/2022,Onion,37
02/03/2022,Capsicum,42
02/03/2022,Potato,20
02/03/2022,French Beans,37
02/03/2022,Spinach,10
02/03/2022,Bitter Gourd,34
02/03/2022,Green Chilli,43
02/03/2022,Banana,7
02/03/2022,Ivy Gourd,33
02/03/2022,Amla,60
02/03/2022,Tomato,19
02/03/2022,Coriander Leaves,10
02/03/2023,Onion,19
02/03/2023,Snake Gourd,28
02/03/2023,Green Chilli,39
02/03/2023,Ivy Gourd,28
02/03/2023,French Beans,40
02/03/2023,Lemon,55
02/03/2023,Spinach,11
02/03/2023,Amla,70
02/03/2023,Tomato,28
02/03/2023,Ladies Finger,45
02/03/2023,Potato,29
02/03/2023,Banana,9
02/03/2023,Mango Raw,93
02/03/2023,Capsicum,43
02/03/2023,Bitter Gourd,26
02/03/2023,Coriander Leaves,8
02/04/2022,French Beans,25
02/04/2022,Potato,23
02/04/2022,Ivy Gourd,33
02/04/2022,Snake Gourd,17
02/04/2022,Spinach,14
02/04/2022,Bitter Gourd,24
02/04/2022,Coriander Leaves,10
02/04/2022,Ladies Finger,19
02/04/2022,Lemon,40
02/04/2022,Green Chilli,39
02/04/2022,Amla,60
02/04/2022,Capsicum,32
02/04/2022,Mango Raw,54
02/04/2022,Tomato,11
02/04/2022,Onion,25
02/04/2022,Banana,9
02/04/2023,Coriander Leaves,6
02/04/2023,Green Chilli,41
02/04/2023,Snake Gourd,27
02/04/2023,Onion,18
02/04/2023,Spinach,15
02/04/2023,Ivy Gourd,25
02/04/2023,French Beans,42
02/04/2023,Bitter Gourd,34
02/04/2023,Lemon,56
02/04/2023,Ladies Finger,34
02/04/2023,Potato,22
02/04/2023,Amla,50
02/04/2023,Mango Raw,42
02/04/2023,Tomato,15
02/04/2023,Capsicum,48
02/04/2023,Banana,11
02/05/2022,Spinach,14
02/05/2022,French Beans,36
02/05/2022,Lemon,38
02/05/2022,Mango Raw,20
02/05/2022,Banana,8
02/05/2022,Capsicum,31
02/05/2022,Snake Gourd,21
02/05/2022,Coriander Leaves,11
02/05/2022,Green Chilli,45
02/05/2022,Onion,22
02/05/2022,Bitter Gourd,30
02/05/2022,Tomato,52
02/05/2022,Potato,27
02/05/2022,Amla,50
02/05/2022,Ivy Gourd,28
02/05/2022,Ladies Finger,24
02/05/2023,Green Chilli,47
02/05/2023,Spinach,17
02/05/2023,Capsicum,50
02/05/2023,Mango Raw,30
02/05/2023,Tomato,13
02/05/2023,Ladies Finger,37
02/05/2023,Amla,70
02/05/2023,Onion,20
02/05/2023,French Beans,48
02/05/2023,Snake Gourd,27
02/05/2023,Potato,26
02/05/2023,Ivy Gourd,23
02/05/2023,Coriander Leaves,6
02/05/2023,Lemon,57
02/05/2023,Banana,7
02/05/2023,Bitter Gourd,28
02/06/2022,Coriander Leaves,9
02/06/2022,Amla,60
02/06/2022,Bitter Gourd,36
02/06/2022,Potato,27
02/06/2022,Banana,7
02/06/2022,Tomato,54
02/06/2022,French Beans,67
02/06/2022,Mango Raw,23
02/06/2022,Ladies Finger,34
02/06/2022,Spinach,10
02/06/2022,Ivy Gourd,26
02/06/2022,Green Chilli,35
02/06/2022,Snake Gourd,21
02/06/2022,Onion,19
02/06/2022,Lemon,63
02/06/2022,Capsicum,32
02/06/2023,Snake Gourd,27
02/06/2023,French Beans,47
02/06/2023,Tomato,32
02/06/2023,Onion,21
02/06/2023,Coriander Leaves,5
02/06/2023,Ivy Gourd,24
02/06/2023,Potato,22
02/06/2023,Amla,70
02/06/2023,Spinach,17
02/06/2023,Bitter Gourd,34
02/06/2023,Green Chilli,42
02/06/2023,Banana,10
02/06/2023,Lemon,60
02/06/2023,Ladies Finger,36
02/06/2023,Mango Raw,24
02/06/2023,Capsicum,45
02/07/2022,French Beans,60
02/07/2022,Bitter Gourd,36
02/07/2022,Snake Gourd,25
02/07/2022,Ivy Gourd,27
02/07/2022,Potato,32
02/07/2022,Ladies Finger,34
02/07/2022,Lemon,64
02/07/2022,Green Chilli,30
02/07/2022,Banana,5
02/07/2022,Capsicum,33
02/07/2022,Mango Raw,30
02/07/2022,Tomato,22
02/07/2022,Onion,20
02/07/2022,Amla,60
02/07/2022,Coriander Leaves,8
02/07/2022,Spinach,12
02/07/2023,Bitter Gourd,28
02/07/2023,Amla,70
02/07/2023,French Beans,64
02/07/2023,Ladies Finger,44
02/07/2023,Potato,32
02/07/2023,Onion,21
02/07/2023,Banana,10
02/07/2023,Spinach,10
02/07/2023,Ivy Gourd,26
02/07/2023,Lemon,52
02/07/2023,Mango Raw,29
02/07/2023,Snake Gourd,30
02/07/2023,Capsicum,45
02/07/2023,Green Chilli,57
02/07/2023,Tomato,86
02/07/2023,Coriander Leaves,9
02/08/2022,Green Chilli,37
02/08/2022,Ladies Finger,36
02/08/2022,Amla,60
02/08/2022,Mango Raw,61
02/08/2022,Onion,24
02/08/2022,Potato,31
02/08/2022,Ivy Gourd,24
02/08/2022,Capsicum,35
02/08/2022,Banana,7
02/08/2022,French Beans,68
02/08/2022,Lemon,57
02/08/2022,Spinach,15
02/08/2022,Tomato,16
02/08/2022,Coriander Leaves,9
02/08/2022,Bitter Gourd,34
02/08/2022,Snake Gourd,29
02/08/2023,Banana,7
02/08/2023,Potato,31
02/08/2023,Green Chilli,98
02/08/2023,French Beans,62
02/08/2023,Onion,29
02/08/2023,Bitter Gourd,28
02/08/2023,Lemon,52
02/08/2023,Tomato,149
02/08/2023,Amla,80
02/08/2023,Snake Gourd,30
02/08/2023,Ladies Finger,39
02/08/2023,Spinach,12
02/08/2023,Capsicum,50
02/08/2023,Ivy Gourd,22
02/08/2023,Coriander Leaves,10
02/08/2023,Mango Raw,32
02/09/2022,French Beans,47
02/09/2022,Coriander Leaves,10
02/09/2022,Snake Gourd,29
02/09/2022,Lemon,54
02/09/2022,Capsicum,31
02/09/2022,Ladies Finger,20
02/09/2022,Bitter Gourd,39
02/09/2022,Green Chilli,37
02/09/2022,Ivy Gourd,23
02/09/2022,Tomato,24
02/09/2022,Amla,50
02/09/2022,Banana,10
02/09/2022,Mango Raw,102
02/09/2022,Spinach,10
02/09/2022,Potato,32
02/09/2022,Onion,26
02/10/2022,Amla,60
02/10/2022,Green Chilli,39
02/10/2022,Tomato,36
02/10/2022,Snake Gourd,30
02/10/2022,Spinach,14
02/10/2022,French Beans,65
02/10/2022,Mango Raw,94
02/10/2022,Banana,12
02/10/2022,Bitter Gourd,34
02/10/2022,Ivy Gourd,22
02/10/2022,Ladies Finger,20
02/10/2022,Coriander Leaves,9
02/10/2022,Capsicum,38
02/10/2022,Potato,32
02/10/2022,Lemon,63
02/10/2022,Onion,21
02/11/2022,Amla,60
02/11/2022,Ladies Finger,23
02/11/2022,Mango Raw,110
02/11/2022,Bitter Gourd,35
02/11/2022,Coriander Leaves,7
02/11/2022,Spinach,12
02/11/2022,Tomato,27
02/11/2022,Capsicum,39
02/11/2022,Ivy Gourd,26
02/11/2022,Snake Gourd,36
02/11/2022,Lemon,50
02/11/2022,French Beans,63
02/11/2022,Potato,31
02/11/2022,Onion,26
02/11/2022,Banana,8
02/11/2022,Green Chilli,39
02/12/2022,Coriander Leaves,10
02/12/2022,French Beans,20
02/12/2022,Onion,30
02/12/2022,Amla,60
02/12/2022,Tomato,17
02/12/2022,Capsicum,38
02/12/2022,Banana,7
02/12/2022,Mango Raw,81
02/12/2022,Ivy Gourd,27
02/12/2022,Snake Gourd,27
02/12/2022,Ladies Finger,29
02/12/2022,Green Chilli,38
02/12/2022,Spinach,14
02/12/2022,Bitter Gourd,28
02/12/2022,Lemon,64
02/12/2022,Potato,35
03/01/2022,Potato,26
03/01/2022,Snake Gourd,38
03/01/2022,Mango Raw,76
03/01/2022,Lemon,42
03/01/2022,Banana,7
03/01/2022,Ladies Finger,59
03/01/2022,French Beans,52
03/01/2022,Coriander Leaves,10
03/01/2022,Spinach,13
03/01/2022,Tomato,47
03/01/2022,Ivy Gourd,29
03/01/2022,Capsicum,40
03/01/2022,Green Chilli,40
03/01/2022,Amla,70
03/01/2022,Onion,38
03/01/2022,Bitter Gourd,55
03/01/2023,Mango Raw,109
03/01/2023,Lemon,45
03/01/2023,Bitter Gourd,27
03/01/2023,Amla,60
03/01/2023,Spinach,10
03/01/2023,Onion,27
03/01/2023,Tomato,19
03/01/2023,Banana,10
03/01/2023,Potato,30
03/01/2023,Ivy Gourd,27
03/01/2023,Snake Gourd,30
03/01/2023,Green Chilli,35
03/01/2023,Ladies Finger,32
03/01/2023,Capsicum,48
03/01/2023,Coriander Leaves,6
03/01/2023,French Beans,35
03/02/2022,Spinach,11
03/02/2022,Onion,35
03/02/2022,Amla,50
03/02/2022,Green Chilli,42
03/02/2022,Capsicum,46
03/02/2022,Potato,21
03/02/2022,Lemon,35
03/02/2022,Coriander Leaves,8
03/02/2022,Ivy Gourd,34
03/02/2022,French Beans,42
03/02/2022,Ladies Finger,57
03/02/2022,Banana,4
03/02/2022,Tomato,18
03/02/2022,Bitter Gourd,33
03/02/2022,Snake Gourd,26
03/02/2022,Mango Raw,74
03/02/2023,Capsicum,40
03/02/2023,Lemon,53
03/02/2023,Mango Raw,106
03/02/2023,Snake Gourd,30
03/02/2023,French Beans,39
03/02/2023,Tomato,23
03/02/2023,Ivy Gourd,25
03/02/2023,Potato,39
03/02/2023,Bitter Gourd,29
03/02/2023,Spinach,17
03/02/2023,Amla,60
03/02/2023,Green Chilli,35
03/02/2023,Banana,7
03/02/2023,Coriander Leaves,7
03/02/2023,Ladies Finger,46
03/02/2023,Onion,25
03/03/2022,Green Chilli,43
03/03/2022,Potato,20
03/03/2022,French Beans,37
03/03/2022,Capsicum,42
03/03/2022,Amla,60
03/03/2022,Banana,7
03/03/2022,Spinach,10
03/03/2022,Snake Gourd,27
03/03/2022,Bitter Gourd,34
03/03/2022,Ivy Gourd,33
03/03/2022,Mango Raw,82
03/03/2022,Ladies Finger,54
03/03/2022,Lemon,37
03/03/2022,Onion,37
03/03/2022,Coriander Leaves,10
03/03/2022,Tomato,19
03/03/2023,Coriander Leaves,8
03/03/2023,Banana,9
03/03/2023,Ivy Gourd,28
03/03/2023,Amla,70
03/03/2023,Tomato,28
03/03/2023,Ladies Finger,45
03/03/2023,Onion,19
03/03/2023,French Beans,40
03/03/2023,Green Chilli,39
03/03/2023,Lemon,55
03/03/2023,Snake Gourd,28
03/03/2023,Potato,29
03/03/2023,Mango Raw,93
03/03/2023,Spinach,11
03/03/2023,Capsicum,43
03/03/2023,Bitter Gourd,26
03/04/2022,Lemon,40
03/04/2022,Green Chilli,39
03/04/2022,Coriander Leaves,10
03/04/2022,Banana,9
03/04/2022,Snake Gourd,17
03/04/2022,French Beans,25
03/04/2022,Amla,60
03/04/2022,Spinach,14
03/04/2022,Onion,25
03/04/2022,Ladies Finger,19
03/04/2022,Mango Raw,54
03/04/2022,Ivy Gourd,33
03/04/2022,Tomato,11
03/04/2022,Bitter Gourd,24
03/04/2022,Potato,23
03/04/2022,Capsicum,32
03/04/2023,French Beans,42
03/04/2023,Bitter Gourd,34
03/04/2023,Ladies Finger,34
03/04/2023,Banana,11
03/04/2023,Green Chilli,41
03/04/2023,Coriander Leaves,6
03/04/2023,Potato,22
03/04/2023,Spinach,15
03/04/2023,Mango Raw,42
03/04/2023,Lemon,56
03/04/2023,Snake Gourd,27
03/04/2023,Capsicum,48
03/04/2023,Tomato,15
03/04/2023,Amla,50
03/04/2023,Ivy Gourd,25
03/04/2023,Onion,20
03/05/2022,Spinach,14
03/05/2022,Coriander Leaves,11
03/05/2022,Lemon,38
03/05/2022,Ladies Finger,24
03/05/2022,Bitter Gourd,30
03/05/2022,Potato,27
03/05/2022,Tomato,52
03/05/2022,Banana,8
03/05/2022,French Beans,36
03/05/2022,Ivy Gourd,28
03/05/2022,Capsicum,31
03/05/2022,Amla,50
03/05/2022,Green Chilli,45
03/05/2022,Onion,22
03/05/2022,Snake Gourd,21
03/05/2022,Mango Raw,20
03/05/2023,Amla,70
03/05/2023,Potato,26
03/05/2023,Green Chilli,47
03/05/2023,Lemon,57
03/05/2023,Coriander Leaves,6
03/05/2023,Tomato,13
03/05/2023,Ladies Finger,37
03/05/2023,Bitter Gourd,28
03/05/2023,Snake Gourd,27
03/05/2023,Mango Raw,30
03/05/2023,Banana,7
03/05/2023,Ivy Gourd,23
03/05/2023,Capsicum,50
03/05/2023,French Beans,48
03/05/2023,Spinach,17
03/05/2023,Onion,20
03/06/2022,Potato,27
03/06/2022,Onion,19
03/06/2022,Ladies Finger,34
03/06/2022,Lemon,63
03/06/2022,Tomato,54
03/06/2022,Snake Gourd,21
03/06/2022,Green Chilli,35
03/06/2022,Mango Raw,23
03/06/2022,French Beans,67
03/06/2022,Spinach,10
03/06/2022,Bitter Gourd,36
03/06/2022,Amla,60
03/06/2022,Banana,7
03/06/2022,Coriander Leaves,9
03/06/2022,Capsicum,32
03/06/2022,Ivy Gourd,26
03/06/2023,Banana,10
03/06/2023,Tomato,28
03/06/2023,Amla,70
03/06/2023,Spinach,16
03/06/2023,Ladies Finger,40
03/06/2023,Potato,25
03/06/2023,Onion,21
03/06/2023,Green Chilli,48
03/06/2023,French Beans,48
03/06/2023,Ivy Gourd,28
03/06/2023,Snake Gourd,26
03/06/2023,Mango Raw,29
03/06/2023,Lemon,56
03/06/2023,Capsicum,40
03/06/2023,Bitter Gourd,34
03/06/2023,Coriander Leaves,5
03/07/2022,Bitter Gourd,36
03/07/2022,Lemon,64
03/07/2022,Potato,32
03/07/2022,Spinach,12
03/07/2022,Banana,5
03/07/2022,Capsicum,33
03/07/2022,Snake Gourd,25
03/07/2022,Mango Raw,30
03/07/2022,Onion,20
03/07/2022,French Beans,60
03/07/2022,Ivy Gourd,27
03/07/2022,Tomato,22
03/07/2022,Coriander Leaves,8
03/07/2022,Green Chilli,30
03/07/2022,Amla,60
03/07/2022,Ladies Finger,34
03/07/2023,Snake Gourd,30
03/07/2023,Coriander Leaves,9
03/07/2023,Ivy Gourd,26
03/07/2023,Amla,70
03/07/2023,French Beans,64
03/07/2023,Bitter Gourd,28
03/07/2023,Tomato,86
03/07/2023,Green Chilli,57
03/07/2023,Lemon,52
03/07/2023,Onion,21
03/07/2023,Ladies Finger,44
03/07/2023,Banana,10
03/07/2023,Spinach,10
03/07/2023,Mango Raw,29
03/07/2023,Potato,32
03/07/2023,Capsicum,45
03/08/2022,Ladies Finger,36
03/08/2022,Coriander Leaves,9
03/08/2022,Spinach,15
03/08/2022,Snake Gourd,29
03/08/2022,Ivy Gourd,24
03/08/2022,Potato,31
03/08/2022,Bitter Gourd,34
03/08/2022,Lemon,57
03/08/2022,Mango Raw,61
03/08/2022,Onion,24
03/08/2022,French Beans,68
03/08/2022,Banana,7
03/08/2022,Tomato,16
03/08/2022,Capsicum,35
03/08/2022,Green Chilli,37
03/08/2022,Amla,60
03/08/2023,Tomato,140
03/08/2023,Green Chilli,91
03/08/2023,Mango Raw,36
03/08/2023,Spinach,12
03/08/2023,Amla,80
03/08/2023,Potato,30
03/08/2023,Ladies Finger,39
03/08/2023,Capsicum,50
03/08/2023,French Beans,67
03/08/2023,Onion,29
03/08/2023,Bitter Gourd,36
03/08/2023,Snake Gourd,34
03/08/2023,Coriander Leaves,9
03/08/2023,Banana,9
03/08/2023,Lemon,45
03/08/2023,Ivy Gourd,27
03/09/2022,Capsicum,31
03/09/2022,Green Chilli,37
03/09/2022,Potato,32
03/09/2022,Banana,10
03/09/2022,Bitter Gourd,39
03/09/2022,Lemon,54
03/09/2022,French Beans,47
03/09/2022,Coriander Leaves,10
03/09/2022,Ladies Finger,20
03/09/2022,Onion,26
03/09/2022,Amla,50
03/09/2022,Tomato,24
03/09/2022,Mango Raw,102
03/09/2022,Spinach,10
03/09/2022,Ivy Gourd,23
03/09/2022,Snake Gourd,29
03/10/2022,French Beans,60
03/10/2022,Ivy Gourd,23
03/10/2022,Amla,50
03/10/2022,Capsicum,40
03/10/2022,Green Chilli,35
03/10/2022,Coriander Leaves,10
03/10/2022,Mango Raw,97
03/10/2022,Tomato,37
